2026-02-02 19:36:39.385852 | alice | login
2026-02-02 19:36:41.385852 | frank | error_404
2026-02-02 19:36:44.385852 | frank | error_404
2026-02-02 19:36:49.385852 | alice | click_button
2026-02-02 19:36:51.385852 | juan | login
2026-02-02 19:36:56.385852 | frank | error_500
2026-02-02 19:36:59.385852 | juan | view_page
2026-02-02 19:37:04.385852 | frank | view_page
2026-02-02 19:37:06.385852 | hector | password_change
2026-02-02 19:37:11.385852 | carla | logout
2026-02-02 19:37:16.385852 | alice | password_change
2026-02-02 19:37:17.385852 | frank | view_page
2026-02-02 19:37:20.385852 | bob | view_page
2026-02-02 19:37:21.385852 | frank | login
2026-02-02 19:37:26.385852 | carla | logout
2026-02-02 19:37:29.385852 | alice | login
2026-02-02 19:37:32.385852 | bob | login
2026-02-02 19:37:33.385852 | gina | click_button
2026-02-02 19:37:38.385852 | alice | error_500
2024-05-01 12:00:00 - bob - login
2026-02-02 19:37:39.385852 | alice | logout
2026-02-02 19:37:40.385852 | irene | click_button
2026-02-02 19:37:43.385852 | frank | view_page
2026-02-02 19:37:47.385852 | daniel | login
2026-02-02 19:37:48.385852 | carla | error_404
2026-02-02 19:37:49.385852 | juan | error_404
2026-02-02 19:37:54.385852 | irene | error_500
2026-02-02 19:37:58.385852 | gina | login
2026-02-02 19:38:02.385852 | carla | view_page
2026-02-02 19:38:05.385852 | gina | logout
2026-02-02 19:38:10.385852 | carla | password_change
2026-02-02 19:38:11.385852 | irene | error_404
2026-02-02 19:38:13.385852 | juan | click_button
2026-02-02 19:38:16.385852 | daniel | error_404
2026-02-02 19:38:21.385852 | bob | logout
2026-02-02 19:38:25.385852 | frank | error_500
2026-02-02 19:38:29.385852 | bob | error_404
2024-05-01 12:00:00 | | login
2026-02-02 19:38:33.385852 | juan | error_500
random text with no meaning
2026-02-02 19:38:36.385852 | bob | logout
2026-02-02 19:38:39.385852 | carla | error_500
2026-02-02 19:38:40.385852 | eva | click_button
2026-02-02 19:38:43.385852 | juan | login
2026-02-02 19:38:45.385852 | irene | error_500
2026-02-02 19:38:48.385852 | juan | click_button
2026-02-02 19:38:50.385852 | bob | error_500
2026-02-02 19:38:52.385852 | alice | login
2026-02-02 19:38:53.385852 | juan | error_500
2026-02-02 19:38:56.385852 | carla | login
2026-02-02 19:39:00.385852 | gina | error_404
2026-02-02 19:39:03.385852 | eva | password_change
2026-02-02 19:39:04.385852 | hector | password_change
2026-02-02 19:39:07.385852 | bob | click_button
2026-02-02 19:39:09.385852 | irene | error_500
2026-02-02 19:39:10.385852 | alice | click_button
2026-02-02 19:39:11.385852 | juan | click_button
2026-02-02 19:39:15.385852 | alice | error_500
2026-02-02 19:39:19.385852 | carla | error_500
2026-02-02 19:39:23.385852 | irene | password_change
2026-02-02 19:39:25.385852 | irene | logout

2026-02-02 19:39:29.385852 | frank | error_500
2026-02-02 19:39:32.385852 | frank | login
2026-02-02 19:39:36.385852 | eva | login
2026-02-02 19:39:41.385852 | frank | click_button
2026-02-02 19:39:43.385852 | eva | view_page
2026-02-02 19:39:45.385852 | juan | logout
2026-02-02 19:39:46.385852 | irene | error_500
2026-02-02 19:39:48.385852 | alice | error_404
2026-02-02 19:39:49.385852 | eva | error_500
2026-02-02 19:39:54.385852 | juan | logout
2026-02-02 19:39:58.385852 | hector | error_404
2026-02-02 19:39:59.385852 | irene | login
